_id,businessName,DBAName,LegalOwner,NameLast,NameFirst,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,Violation,ViolLevel,ViolDesc,VIOLDTTM,ViolStatus,StatusDate,Comments,Address,CITY,STATE,ZIP,Property_ID,Location
11,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,10/24/13 11:18,16-4-501.11/.15,*,Dishwashng Facilities,10/24/13 11:18,Fail,None,Provide sink plugs for sink behind service bar.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
12,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,10/24/13 11:18,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,10/24/13 11:18,Fail,None,Provide dispenser for paper towels.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
13,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,10/24/13 11:18,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,10/24/13 11:18,Fail,None,Exhausthood sticker not visible  provide current documentation on exhausthood cleaning.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
14,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,6/19/14 14:58,29-5-201/02.11,*,Installed and Maintained,6/19/14 14:58,Fail,None,Repair loose pipe below hand sink behind beverage bar.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
15,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,6/19/14 14:58,36-6-501.11-.12,*,Improper Maintenance of Floors,6/19/14 14:58,Fail,None,Replace missing floor tiles at entrance to kitchen.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
16,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,6/19/14 14:58,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,6/19/14 14:58,Fail,None,Paint wall for storage.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
17,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,7/27/15 14:22,Fail,None,Observed raw chicken stored over ready to eat product.Provide proper storage of raw and ready to eat products.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
18,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,08-3-305-307.11,*,Food Protection,7/27/15 14:22,Fail,None,Closet next to microwave with pots stored on the floor.Discontinue.Store clean pots at least 6 inches off the floor,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
19,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,08-3-305-307.11,*,Food Protection,7/27/15 14:22,Fail,None,Observed buckets of food products stored directly on the floor.Maintain storage at least 6 inches of the floor.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
20,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,17-4-204.112/.115,*,Equipment Thermometers,7/27/15 14:22,Fail,None,Provide working internal thermometers for all refrigeration.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
21,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,17-4-302.14,*,Test Kit Provided,7/27/15 14:22,Fail,None,Provide chlorine test kit for 3 bay sink,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
22,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,7/27/15 14:22,Fail,None,Provide proper sanitizer solution to store in use wiping cloths.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
23,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,29-5-201/02.11,*,Installed and Maintained,7/27/15 14:22,Fail,None,,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
24,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,29-5-201/02.11,*,Installed and Maintained,7/27/15 14:22,Fail,None,Hand sink leaking.PIC states it is in the process of being fixed at the time of inspection.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
25,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,29-5-201/02.11,*,Installed and Maintained,7/27/15 14:22,Fail,None,Provide new battery for faucet water trickling out.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
26,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,7/27/15 14:22,Fail,None,Provide all handsinks with soap and paper towels at all times for proper handwashing.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
27,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,33-5-501.13-.17,*,Adequate Number  Frequency Vermin Proof,7/27/15 14:22,Fail,None,Provide covered trash recepticle,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
28,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,7/27/15 14:22,Fail,None,Hood filter area with grease build up.Clean to remove,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
29,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,7/27/15 14:22,38-6-303.11,*,Inadequate Lighting,7/27/15 14:22,Fail,None,3 lightbulbs burnt out.Replace,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
30,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,02-3-602.11-.12/3-302.12,*,Food Container Labels,3/18/16 11:46,Fail,None,Provide labels for bulk food containers that are missing.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
31,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,3/18/16 11:46,Fail,None,Raw chicken and fish stored with cooked foods. Discontinue and store foods properly as discussed.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
32,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,08-3-305-307.11,*,Food Protection,3/18/16 11:46,Fail,None,Provide tight fitting covers for food in storeage. Found containers in walk in with no covers or covers that did not fit (to small).,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
33,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,14-4-202.11,*,Food Contact Surfaces Design,3/18/16 11:46,Fail,None,Clean or replace cutting boards that have deep dark scores or are chipping.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
34,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,16-4-501.11/.15,*,Dishwashng Facilities,3/18/16 11:46,Fail,None,Provide an area to store soiled equipment. Discontinue to store in all three bays.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
35,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,23-4-602.13,*,Non-Food Contact Surfaces Clean,3/18/16 11:46,Fail,None,Clean shelves in kitchen and walk in. Visibly soiled.  Clean exterior of bulk food cantainers visibly soiled.  Clean interior and exterior of refrigerators and freezer of dry food and ice build up.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
36,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,24-4-903.11,*,Clean Equipment & Utensils Storage,3/18/16 11:46,Fail,None,Clean strainers and tongs stored between wall and the back of the three bay sink. Discontinue. Store properly.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
37,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,31-5-204/05.11,***,Location  Accessible,3/18/16 11:46,Fail,None,Two hand sinks in kitchen. One blocked with a blender and the other with a trash barrle and strainer. Discontinue to block so that staff will wash hand more often. Address with staff.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
38,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,3/18/16 11:46,Fail,None,Provide soap and paper towels at all hand sinks.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
39,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,3/18/16 11:46,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,3/18/16 11:46,Fail,None,Clean hood filters on cooking line. Visibibly soiled.  Repair ceiling in bacement walk in refrigertator. Some of ceiling missing. Address Clean fan covers on condencer fans in walk ins.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
40,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,02-3-602.11-.12/3-302.12,*,Food Container Labels,9/27/16 12:08,Fail,None,Properly labels all bulk food containers. If a product is taken out of its original package new container must be labeled. Bulk rice.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
41,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,03-3-501.16,***,Hot Holding,9/27/16 12:08,Fail,None,White rice at 100F  pork dish 87F and plantains 85F. PIC removed and will reheat to above 165F. Monitor holding temperature with staff.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
42,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,9/27/16 12:08,Fail,None,Raw chicken stored above Raw pork and other cooked foods. Raw whole eggs stored above fruits and vegetables. PIC need to properly store foods as discussed.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
43,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,08-3-305-307.11,*,Food Protection,9/27/16 12:08,Fail,None,Discontinue to store food containers on the floor in the walk in under shelves. Must be 6 inches off the floor.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
44,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,14-4-202.11,*,Food Contact Surfaces Design,9/27/16 12:08,Fail,None,Replace yellow cutting board in kicthen and any others that have deep dark scores and stains.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
45,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,17-4-302.14,*,Test Kit Provided,9/27/16 12:08,Fail,None,Provide a test kit.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
46,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,23-4-602.13,*,Non-Food Contact Surfaces Clean,9/27/16 12:08,Fail,None,Clean interior and exterior of refrigerators and freezers in kitchen and basement storage. Visibly soiled.  Clean shelves in kitchen and warewashing area. Visibly soiled.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
47,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,29-5-201/02.11,*,Installed and Maintained,9/27/16 12:08,Fail,None,Three bay sink in the wash bay leaking. Fauset at three bay leaking and handle for hot water on hand sink loose. PIC has a plumber working on the problem and will be back in 30 mins with parts to make repairs.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
48,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,36-6-501.11-.12,*,Improper Maintenance of Floors,9/27/16 12:08,Fail,None,Clean floor under and behind equipment in kitchen.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
49,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,9/27/16 12:08,Fail,None,Clean walls and ceiling of the walk in in the basement. Visibly soiled with mold. Clean and repair seiling in kitchen above prep area were soiled and falling apart.  Repair any ceiling tile falling down in walk in in basement.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
50,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,9/27/16 12:08,M-2-103.11,***,PIC Performing Duties,9/27/16 12:08,Fail,None,PIC need to monitor staff for proper food storage  holding and reheating temperatures and general cleaning and repairs.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
51,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,02-3-602.11-.12/3-302.12,*,Food Container Labels,4/25/17 11:57,Fail,None,Label all bulk food containers.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
52,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,03-3-501.14,***,Cooling,4/25/17 11:57,Fail,None,Certified Food Safety staff member will need to review with all cooking staff proper way to cool. I found cooked turkey in walk in between 46F and 49F. PIC voluntarily discarded. PIC will need review.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
53,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,4/25/17 11:57,Fail,None,Raw foods stored above cooked foods in walk in refrigerator. Discontinue and store properly as discuused.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
54,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,08-3-305-307.11,*,Food Protection,4/25/17 11:57,Fail,None,All food in storage must have a cover.  Discontinue to cover hot cooked food with plastic nonfood grade bags. Bag will melt as discussed.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
55,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,15-4-202.16,*,Non-Food Contact Surfaces,4/25/17 11:57,Fail,None,Paint wood shelf on cooking line under all the spices or replace with a smooth  cleanable surface.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
56,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,16-4-501.11/.15,*,Dishwashng Facilities,4/25/17 11:57,Fail,None,Low temperature dishwasher not working properly at this time. Staff member stated that it works sometimes. Have dishwasher repaired and provide a test kit for staff to check each day.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
57,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,17-4-302.14,*,Test Kit Provided,4/25/17 11:57,Fail,None,Provide test kit for sanitizer being used in three bay sink.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
58,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,23-4-602.13,*,Non-Food Contact Surfaces Clean,4/25/17 11:57,Fail,None,Clean interior and exterior of all refrigeration equipment. Visibly soiled with dry food build up and ice build up.  Clean all shelves in kitchen  walk n refrigerator  basement storage shelves and warewashing. Visibly soiled with dry food build up.  Clean shelves in basement of all mouse dropping.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
59,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,36-6-501.11-.12,*,Improper Maintenance of Floors,4/25/17 11:57,Fail,None,Repair / patch holes in floor in basement floor. This will help with any pest issues. Clean floor in basement. Visibly soiled with old mouse droppings.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
60,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,4/25/17 11:57,Fail,None,Repair ceiling falling down in walk in refrigerator. This was a issue at last inspection and was told it will be repaired. Have ceiling repaired at reinspection or provide paperwork with a date to when it will be done.  Clean walls in walk n in basement. Visibly soiled.  Clean fan covers in basement walk in. Visibly soiled.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
61,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,42-6-501.113/.114,*,Premises Maintained,4/25/17 11:57,Fail,None,Basement is full of all types of items. This would make it difficult for pest control inspect amd provide harborage for pest. Clean to remove items.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
62,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,4/25/17 11:57,M-2-102.11,***,PIC Knowledge,4/25/17 11:57,Fail,None,PIC will need to review with all staff proper cooling process  storage of foods  general cleaning and maintenance of location. When certified staff member is not at location someone need to be in charge and knowledgeable in all cooking  holding  cooling  proper sanitizing of equipment.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
63,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,11/15/17 13:27,06-3-501.13,*,PHF's Properly Thawed,11/15/17 13:27,Fail,None,Shrimp in container of water thawing. Discontinue and thaw the day before in refrigerator  under running water or cook frozen.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
64,100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,4/5/13 12:47,12/31/18 23:59,Active,FS,Eating & Drinking,HE_Fail,11/15/17 13:27,08-3-305-307.11,*,Food Protection,11/15/17 13:27,Fail,None,Provide proper covers for food in freezer. Found food loose and not covered.,635   Hyde Park AV,Roslindale,MA,2131,77476,"(42.278590000, -71.119440000)"
